,name,artist,track_URI,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,playlist
109,I've Been Loving You Too Long,Otis Redding,spotify:track:4pdLyulbYLCrPmDzWWeJIZ,0.7,0.499,0.246,0.00227,0.0965,-12.806,0.0325,148.468,0.152,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
110,I'm So Lonesome I Could Cry - Single Version,Hank Williams,spotify:track:2QS6317PuuUqsdQagPA2Be,0.901,0.666,0.251,0.00718,0.134,-11.054,0.0282,111.01,0.606,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
111,That's All Right,Elvis Presley,spotify:track:3Dv2uI1hRGrKKOI8NhfPJp,0.85,0.66,0.33,1.4e-06,0.129,-12.851,0.0366,104.712,0.798,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
112,Up on the Roof,The Drifters,spotify:track:2806jBTs12WAfzFImSxJzL,0.755,0.584,0.489,0,0.133,-6.182,0.0277,121.891,0.777,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
113,Da Doo Ron Ron (When He Walked Me Home),The Crystals,spotify:track:0fonScmHUzC0MglSLn9saA,0.48,0.535,0.797,3.42e-05,0.141,-7.533,0.0459,148.835,0.613,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
114,You Send Me,Sam Cooke,spotify:track:3bkAwZNXVs0PBHbzgS8HP8,0.88,0.563,0.3,0,0.143,-10.385,0.0269,95.926,0.464,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
115,Honky Tonk Women - Mono Version,The Rolling Stones,spotify:track:5RvlXvjhyegbWQDx3zkGYs,0.421,0.559,0.766,0.0242,0.0541,-6.714,0.0589,120.465,0.965,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
116,Take Me To The River,The Commitments,spotify:track:1gJ1RZ4COuF5aS7XzD8rBa,0.151,0.649,0.676,0,0.0581,-9.366,0.055,127.362,0.892,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
117,"Shout, Pts. 1 & 2",The Isley Brothers,spotify:track:5TUa3AsgSh3kJIuXn42wig,0.549,0.467,0.831,0,0.95,-7.661,0.0683,137.355,0.547,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
118,Go Your Own Way,Fleetwood Mac,spotify:track:15rjQH7nTcTomKwfVMd4xl,0.0219,0.597,0.812,0.00106,0.102,-12.062,0.0315,135.68,0.823,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
119,I Want You Back,The Jackson 5,spotify:track:3b0EOvScbZUc0qJx0E1L2z,0.29,0.639,0.548,9.68e-05,0.366,-13.534,0.0394,98.359,0.887,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
120,Stand By Me,Ben E. King,spotify:track:0Cu4fGLR54lNyfK1mIRA12,0.701,0.653,0.381,0,0.127,-10.313,0.0294,116.007,0.547,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
121,House of the Rising Sun,The Animals,spotify:track:3XC7Jd6SfrQYKZJ6inyRHK,0.000334,0.316,0.484,0.00445,0.0912,-9.11,0.0308,117.363,0.299,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
122,It's A Man's Man's Man's World,James Brown,spotify:track:6kBl749onQEDiP9GjjOVVR,0.68,0.467,0.415,0.00738,0.0691,-9.172,0.0435,161.931,0.609,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
123,Jumpin' Jack Flash,The Rolling Stones,spotify:track:5FMlUJ6wd2aN0lkdlRrEtH,0.0582,0.575,0.909,0.238,0.0724,-8.003,0.0654,137.335,0.693,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
124,Will You Love Me Tomorrow,The Shirelles,spotify:track:3DkdQdfSF9OEsloB5GY2Wa,0.686,0.513,0.379,2.62e-05,0.417,-9.679,0.0314,135.756,0.509,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
125,"Shake, Rattle and Roll",Big Joe Turner,spotify:track:7aLoa1F3EoM8AeC6Ao1RKz,0.788,0.612,0.584,3.13e-06,0.193,-6.296,0.0623,154.704,0.845,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
126,Changes - 1997 Remaster,David Bowie,spotify:track:6qKBgMPRR5lb5aZN8gHXpm,0.386,0.539,0.414,0,0.16,-8.646,0.0352,113.385,0.361,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
127,Rock And Roll Music,Chuck Berry,spotify:track:1DAKlL5t9JcGaXvCMdg8T7,0.503,0.506,0.629,4.5e-05,0.089,-10.875,0.0481,165.823,0.846,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
128,Born To Be Wild,Steppenwolf,spotify:track:63OFKbMaZSDZ4wtesuuq6f,0.262,0.438,0.71,0.537,0.221,-12.412,0.0919,145.928,0.53,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
129,Born To Be Wild,Steppenwolf,spotify:track:78OcvMkLFsRp5AJsRexfPX,0.0493,0.491,0.714,0.000265,0.355,-11.391,0.0399,144.428,0.646,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
130,Maggie May,Rod Stewart,spotify:track:2LpirOWiA4eslLRuPpQT7V,0.559,0.605,0.574,0.113,0.0684,-10.536,0.0377,129.449,0.543,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
131,With Or Without You - Remastered,U2,spotify:track:4kAJawkLZj4Q7N5521ofP6,0.000185,0.538,0.432,0.309,0.139,-11.882,0.0295,110.181,0.116,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
132,Who Do You Love,Bo Diddley,spotify:track:2OZSz230YbYe85VmDIYbSH,0.91,0.655,0.921,0,0.0894,-4.298,0.0508,112.779,0.654,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
133,Won't Get Fooled Again - Original Album Version,The Who,spotify:track:7iLGljK0LNpGamQQEOuCRC,0.301,0.686,0.92,0.27,0.0807,-6.231,0.0566,135.027,0.225,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
134,In the Midnight Hour,Wilson Pickett,spotify:track:78eSeO2ExsR4sLUHtdBCFm,0.12,0.75,0.444,3.69e-06,0.118,-8.63,0.0403,111.919,0.849,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
135,While My Guitar Gently Weeps - Remastered,The Beatles,spotify:track:4J4gApJKSC0himDViFotdy,0.0205,0.453,0.654,0.00395,0.172,-8.855,0.0317,115.0,0.702,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
136,Your Song,Elton John,spotify:track:0P2j7ogCRvGMK4Pdw2K5ZQ,0.801,0.552,0.308,1.94e-06,0.104,-11.058,0.0311,128.004,0.309,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
137,Eleanor Rigby - Remastered,The Beatles,spotify:track:77f3aNeabAbOaSB32Sd5QE,0.936,0.581,0.28,1.56e-05,0.305,-9.091,0.0381,137.831,0.813,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
138,Family Affair,Sly & The Family Stone,spotify:track:4UuaNEOM3f6yTvjqxLxNVO,0.749,0.815,0.504,0.0224,0.0746,-17.628,0.119,108.86,0.784,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
139,I Saw Her Standing There - Remastered,The Beatles,spotify:track:63nTBScSLXWwyeizXi9Rmi,0.27,0.491,0.801,0,0.0665,-9.835,0.0361,160.109,0.971,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
140,Kashmir - 1990 Remaster,Led Zeppelin,spotify:track:2nVHqZbOGkKWzlcy1aMbE7,0.488,0.48,0.536,4.22e-05,0.155,-11.166,0.0427,80.617,0.581,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
141,All I Have to Do Is Dream - Single Version; 2006 Remaster,The Everly Brothers,spotify:track:76HnRI6IQX4YHzYTgcM0RV,0.788,0.581,0.368,0,0.157,-11.264,0.0263,103.716,0.568,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
142,Please Please Please,James Brown,spotify:track:7pcvZtwUb97IBprbeX2RGx,0.349,0.578,0.549,0,0.0866,-5.925,0.0291,109.208,0.699,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
143,Purple Rain,Prince,spotify:track:54X78diSLoUDI3joC2bjMz,0.0353,0.367,0.452,0.00228,0.689,-10.422,0.0307,113.066,0.189,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
144,I Wanna Be Sedated - 2002 Remaster,Ramones,spotify:track:6vvmYYUvGXtZLU8msxKvzF,0.169,0.597,0.96,2.89e-05,0.105,-3.989,0.042,163.017,0.937,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
145,Everyday People,Sly & The Family Stone,spotify:track:2APg3cII48gYQswV5qAPz9,0.308,0.803,0.527,0.0132,0.0873,-11.797,0.0325,114.068,0.663,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
146,Lust For Life,Iggy Pop,spotify:track:7egQFB1zrDcvy3kdTaKbpc,0.0125,0.2,0.943,0,0.139,-8.217,0.0544,203.243,0.778,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
147,Me and Bobby McGee,Janis Joplin,spotify:track:1IqFh00G2kvvMm8pRMpehA,0.303,0.43,0.463,5.84e-05,0.152,-10.96,0.0442,93.405,0.66,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
148,Cathy's Clown - Remastered Album Version,The Everly Brothers,spotify:track:27bw4i8LnECzVlbMZ4kFHw,0.548,0.507,0.561,0,0.59,-10.472,0.0353,120.042,0.89,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
149,Eight Miles High,The Byrds,spotify:track:3M2vp32P9xXHsVRcva9G5c,0.205,0.373,0.764,0.0627,0.489,-10.501,0.0721,130.549,0.358,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
150,Earth Angel,The Penguins,spotify:track:1Zc46ozclShFBqV8vNC4oW,0.894,0.354,0.264,0,0.107,-9.955,0.0307,72.574,0.48,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
151,Foxey Lady,Jimi Hendrix,spotify:track:23MrkN7g6Q5U7GLIxNHN1B,0.0751,0.507,0.847,0.237,0.372,-5.987,0.0411,98.096,0.566,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
152,A Hard Day's Night - Remastered,The Beatles,spotify:track:69d54YOS8TOQiUYjX57XeA,0.137,0.59,0.805,0,0.0996,-6.481,0.0371,138.514,0.797,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
153,Rave On,Buddy Holly,spotify:track:7jPKMlLGZAMnGntHaFeU12,0.647,0.547,0.706,1.26e-06,0.49,-8.226,0.0353,159.525,0.963,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
154,Proud Mary,Creedence Clearwater Revival,spotify:track:2IpMp3t9JrTiyrEVy2WlbU,0.13,0.699,0.641,0.000218,0.0601,-7.564,0.0289,120.745,0.728,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
155,The Sound of Silence,Simon & Garfunkel,spotify:track:1dIVISSoaaRVrdDJD3BdOk,0.201,0.432,0.398,3.94e-05,0.138,-12.419,0.0287,106.777,0.526,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
156,I Only Have Eyes For You,The Flamingos,spotify:track:1l4EIL5BkwWNg0KZObUpHe,0.905,0.546,0.307,0.000939,0.11,-12.834,0.0293,89.229,0.343,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
157,Rock Around The Clock,Bill Haley,spotify:track:6eZ4AQ3S8caRHrfE3mWaRe,0.372,0.686,0.648,4.64e-05,0.073,-11.841,0.2,179.895,0.754,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
158,I'm Waiting For The Man,The Velvet Underground,spotify:track:5v5YfdOjFLPFnooIxpeczD,0.282,0.727,0.54,0.927,0.386,-12.544,0.0469,125.154,0.956,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
159,Bring The Noise,Public Enemy,spotify:track:3OnQW2gbtpnO9KpXH7V59K,0.0704,0.777,0.948,0,0.0514,-6.035,0.237,110.178,0.791,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
160,I Can't Stop Loving You,Ray Charles,spotify:track:2FTCUHcXNicisIq19seZ2b,0.669,0.295,0.283,0,0.33,-12.279,0.0368,111.522,0.361,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
161,Nothing Compares 2 U,Sinéad O'Connor,spotify:track:3nvuPQTw2zuFAVuLsC9IYQ,0.0425,0.511,0.574,2.33e-05,0.105,-7.016,0.0273,119.917,0.161,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
162,Bohemian Rhapsody,Queen,spotify:track:1yslmgUcM2AOkOPS4sl3QV,0.16,0.39,0.293,0,0.202,-14.274,0.0537,143.956,0.203,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
163,"Folsom Prison Blues (Live: January, 13, 1968)",Johnny Cash,spotify:track:7BuR7aWjwtMnejLYeh8FZk,0.0215,0.594,0.577,0.00792,0.883,-12.772,0.0534,110.783,0.89,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
164,Fast Car,Tracy Chapman,spotify:track:2M9ro2krNb7nr7HSprkEgo,0.313,0.711,0.292,0,0.131,-15.523,0.037,103.951,0.194,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
165,"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,spotify:track:7w9bgPAmPTtrkt2v16QWvQ,0.00971,0.701,0.728,0.00115,0.361,-4.554,0.255,171.388,0.0591,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
166,Let's Get It On - Single Version,Marvin Gaye,spotify:track:4KvL7mhd5DSmkOAIeBeCbM,0.0735,0.573,0.616,2.94e-06,0.0467,-8.975,0.0536,168.418,0.732,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
167,Papa Was A Rollin' Stone,The Temptations,spotify:track:6eyxSV8hr1lu6Mdir5L3Lt,0.427,0.817,0.404,0.0522,0.0434,-13.485,0.0835,121.468,0.901,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
168,Losing My Religion,R.E.M.,spotify:track:74EV0g12ihUoOUXMprFpZB,0.0767,0.672,0.841,0,0.135,-5.992,0.0285,125.437,0.82,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
169,Both Sides Now,Joni Mitchell,spotify:track:1pjATX7sbd6Y4jMVqIvzHk,0.868,0.258,0.139,0.00149,0.1,-13.522,0.0317,77.995,0.139,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
170,Dancing Queen,ABBA,spotify:track:43BPbAR2VvsuC0ErFJ67TI,0.45,0.543,0.871,0.000798,0.731,-6.504,0.0453,100.796,0.754,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
171,Dream On,Aerosmith,spotify:track:5MxNLUsfh7uzROypsoO5qe,0.388,0.307,0.433,9.08e-05,0.332,-10.057,0.029,160.9,0.224,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
172,God Save The Queen,Sex Pistols,spotify:track:1S6oGu1umG1DzWlPPLqk1K,0.00914,0.3,0.889,7.07e-05,0.255,-9.651,0.0532,149.308,0.518,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
173,Paint It Black,The Rolling Stones,spotify:track:78Az0Z1vNJgqv9QSB0ULLV,0.0139,0.504,0.845,0.0419,0.359,-7.799,0.0938,159.508,0.736,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
174,I Fought the Law - Single Version,The Bobby Fuller Four,spotify:track:6Um3XCAxl9YfFmAnGl93xc,0.105,0.593,0.804,2.22e-06,0.047,-5.497,0.0319,148.959,0.962,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
175,Don't Worry Baby - Remastered 2001,The Beach Boys,spotify:track:0vBPA3c3M5FEzjmMJ3ByFK,0.295,0.543,0.325,0,0.0932,-14.398,0.0313,121.238,0.886,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
176,Free Fallin',Tom Petty,spotify:track:7woZGXjtaYwuvSoU1zToB3,0.178,0.617,0.435,0,0.0822,-13.547,0.0256,84.382,0.601,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
177,September Gurls (Studio Rehearsal),Big Star,spotify:track:1PdGjBPB2V1rQzMYnmqvoM,0.00257,0.405,0.862,0.128,0.341,-10.775,0.0506,120.586,0.639,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
178,Love Will Tear Us Apart,Joy Division,spotify:track:2JO3HwMRPeya8bXbtbyPcf,5.24e-05,0.443,0.956,0.825,0.135,-6.198,0.0511,146.754,0.909,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
179,Hey Ya! - Radio Mix / Club Mix,Outkast,spotify:track:5WQ1hIc5d2EVbRQ8qsj8Uh,0.0588,0.719,0.967,0.000249,0.206,-2.435,0.0552,79.505,0.964,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
180,Green Onions,Booker T. & the M.G.'s,spotify:track:4fQMGlCawbTkH9yPPZ49kP,0.767,0.816,0.514,0.949,0.0899,-8.741,0.0339,136.837,0.912,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
181,Save the Last Dance for Me,The Drifters,spotify:track:391TUcoPonqYykPkSZ5Z9U,0.614,0.54,0.53,0,0.198,-10.583,0.0361,143.453,0.896,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
182,The Thrill Is Gone,B.B. King,spotify:track:14fvtNA072cUZw8Cow1Ve1,0.656,0.573,0.456,0.671,0.0772,-8.251,0.0244,90.746,0.585,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
183,Please Please Me - Remastered,The Beatles,spotify:track:2Iccm3cKBQHWt5yk0yX9nh,0.334,0.527,0.48,0,0.0702,-9.61,0.028,139.388,0.706,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
184,Desolation Row,Bob Dylan,spotify:track:0v0lThs04o3oDRzrMqWIGG,0.673,0.432,0.605,0,0.129,-6.941,0.0306,109.227,0.647,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
185,I Never Loved A Man [The Way I Love You],Aretha Franklin,spotify:track:3zyDPAVCR5FQuvkzV0vs5e,0.389,0.715,0.235,0.0904,0.119,-12.585,0.0439,135.301,0.717,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
186,Back In Black,AC/DC,spotify:track:08mG3Y1vljYA6bvDt4Wqkj,0.011,0.31,0.7,0.00965,0.0828,-5.678,0.047,188.386,0.763,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
187,Who'll Stop The Rain,Creedence Clearwater Revival,spotify:track:7lfkvpZDfSqUjpyabn4vVM,0.035,0.622,0.822,0.000128,0.0684,-6.982,0.0316,123.326,0.691,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
188,Stayin' Alive - 2007 Remastered Version Saturday Night Fever,Bee Gees,spotify:track:5cP52DlDN9yryuZVQDg3iq,0.0291,0.704,0.834,0.00492,0.147,-7.131,0.0358,103.555,0.923,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
189,Knockin' On Heaven's Door,Bob Dylan,spotify:track:0BemTX3XUeTyL8UgICqjkj,0.331,0.517,0.473,0.447,0.105,-10.212,0.0289,140.287,0.299,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
190,Free Bird,Lynyrd Skynyrd,spotify:track:50IXI8KyVHitpL9lL8T4dJ,0.00683,0.191,0.838,0.00417,0.062,-7.417,0.056,151.665,0.378,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
191,Wichita Lineman - Remastered 2001,Glen Campbell,spotify:track:6V9VCm1zOY2lGR80RehJ9i,0.326,0.192,0.392,0.000199,0.248,-11.667,0.0328,172.312,0.391,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
192,There Goes My Baby - Single Version; 2019 Remaster,The Drifters,spotify:track:5Aqnf8w3OZG0RQIW90QGaP,0.514,0.4,0.681,0,0.625,-3.406,0.0327,63.996,0.635,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
193,Peggy Sue - Single Version,Buddy Holly,spotify:track:3iJWxZYv5FNcfGcOdgbq2P,0.818,0.659,0.515,0,0.179,-7.912,0.0296,149.126,0.602,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
194,Maybe,The Chantels,spotify:track:3oDHPL96pwPKcBaXs3jy2r,0.751,0.489,0.415,0.000653,0.14,-7.466,0.0268,104.207,0.357,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
195,Sweet Child O' Mine,Guns N' Roses,spotify:track:1kDYCn9VIDmOIbLZ2Xc7OO,0.0872,0.45,0.904,0.108,0.0997,-7.736,0.046,125.072,0.689,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
196,Don't Be Cruel - 2005 DSD remaster,Elvis Presley,spotify:track:5K97JuyAPo0UOYi5EQCjo1,0.902,0.693,0.67,1.17e-05,0.0821,-8.676,0.142,84.815,0.922,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
197,Hey Joe,Jimi Hendrix,spotify:track:2eMxI1qN0ft88sasJrARw3,0.0039,0.35,0.773,0.394,0.0557,-5.632,0.036,167.4,0.491,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
198,Flash Light,Parliament,spotify:track:50VE6zC3a1LSVogi6ywhqX,0.261,0.695,0.75,0.143,0.495,-10.444,0.0579,105.171,0.693,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
199,Loser,Beck,spotify:track:4b8GTae6rqb9oPiRzVa3Gy,0.0343,0.595,0.617,0.000135,0.383,-10.455,0.117,85.387,0.823,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
200,Bizarre Love Triangle,New Order,spotify:track:4kNfh9In8hjuuERSZhwTTx,0.044,0.621,0.909,0.579,0.123,-5.541,0.0463,118.487,0.941,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
201,Come Together - Remastered,The Beatles,spotify:track:0MKqeOVdZcUFGJvWpGCKbG,0.0302,0.533,0.376,0.248,0.0926,-11.913,0.0393,165.007,0.187,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
202,Positively 4th Street - Single Version,Bob Dylan,spotify:track:4heMx0OAwfILu13Lf0VbBM,0.817,0.556,0.463,0,0.116,-10.79,0.0268,109.586,0.764,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
203,Try a Little Tenderness,Otis Redding,spotify:track:4lm3Qc4gKR4zUBeDhcrKPr,0.192,0.583,0.132,1.91e-05,0.258,-15.067,0.057,102.937,0.0695,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
204,Lean on Me - Single Version,Bill Withers,spotify:track:4IXTOcB1eMoE7dkBs6oRHr,0.87,0.609,0.272,9.01e-05,0.106,-10.265,0.0576,74.783,0.434,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
205,"Reach Out, I'll Be There",Four Tops,spotify:track:2TARjNaeT3ImhWvSOcDw92,0.0678,0.622,0.79,0,0.244,-3.468,0.0322,119.566,0.73,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
206,Bye Bye Love,The Everly Brothers,spotify:track:0xK34uEDBKa9ZzJ6kelLJE,0.724,0.547,0.523,0,0.103,-9.176,0.0572,169.598,0.89,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
207,Gloria,Them,spotify:track:3WH4DRVwIanz3wg2kjMwnh,0.401,0.648,0.743,0.00224,0.169,-8.969,0.0495,129.143,0.73,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
208,In My Room - Remastered,The Beach Boys,spotify:track:62fX8EW16l8St2yL8rMer9,0.184,0.341,0.416,6.28e-05,0.0917,-9.574,0.0265,102.886,0.499,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
209,96 Tears,? & The Mysterians,spotify:track:4PEeZ2U4UfP2Jo8EtIOjus,0.0624,0.65,0.562,3.21e-05,0.076,-5.965,0.0345,123.674,0.882,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
210,"Caroline, No - Remastered",The Beach Boys,spotify:track:2kWoMDquVzB9129KUgUfUP,0.811,0.381,0.387,1e-05,0.0595,-14.202,0.0497,76.161,0.323,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
211,1999,Prince,spotify:track:2H7PHVdQ3mXqEHXcvclTB0,0.137,0.866,0.73,0,0.0843,-8.201,0.0767,118.523,0.625,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
212,Your Cheatin' Heart - Single Version,Hank Williams,spotify:track:0w4duPAMQIPQXQ8SSUsQdU,0.946,0.671,0.145,2.1e-06,0.166,-17.089,0.0317,128.087,0.62,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
213,Rockin' In The Free World,Neil Young,spotify:track:6mulBosspt6JdT4fB1xGRD,0.000736,0.491,0.883,3.19e-05,0.369,-4.986,0.0306,131.75,0.518,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
214,Sh-Boom - Single Version,The Chords,spotify:track:5TiUTAPurormiQX9gE0CAQ,0.851,0.667,0.467,0,0.272,-8.991,0.0499,136.676,0.905,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
215,Do You Believe in Magic?,The Lovin' Spoonful,spotify:track:1udKn1oNKYQSQ9OmiIWCMu,0.213,0.553,0.738,0,0.339,-7.963,0.0457,138.602,0.759,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
216,Jolene,Dolly Parton,spotify:track:1bzvCqCgecs7j2H9GCcvTn,0.577,0.683,0.531,0,0.135,-11.532,0.0374,110.476,0.771,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
217,Boom Boom,John Lee Hooker,spotify:track:6nYT843eYfikWUUYyPVhl4,0.77,0.397,0.474,0.046,0.16,-14.961,0.0493,159.854,0.91,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
218,Spoonful,Howlin' Wolf,spotify:track:6vCzTfUgMn7UiUR7Jd53Xq,0.778,0.864,0.455,0.000508,0.0708,-10.044,0.0494,119.25,0.609,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
219,Walk Away Renee - Single Version (Mono),Four Tops,spotify:track:6MwQgzca06ezMP1l6NE0P3,0.223,0.413,0.697,0,0.0921,-4.2,0.038,116.206,0.632,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
220,Walk on the Wild Side - Remastered,Lou Reed,spotify:track:5IWaBDlSj7YMGW7IFGLFEV,0.666,0.554,0.282,3.17e-05,0.0926,-18.052,0.0997,104.425,0.396,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
221,"Oh, Pretty Woman",Roy Orbison,spotify:track:1LqHQEZ6fmv2rtMcnsL2mt,0.591,0.673,0.521,2.67e-05,0.108,-13.234,0.0364,125.331,0.964,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
222,Dance to the Music,Sly & The Family Stone,spotify:track:6W9t1lhkATr4XrnXXgL2CV,0.0156,0.703,0.543,0.000159,0.908,-11.269,0.107,128.199,0.821,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
223,"Good Times - Original 12"" Mix",CHIC,spotify:track:4yYqY1AhA63WzJ1sc9RYYR,0.153,0.869,0.452,0.0115,0.0672,-14.448,0.046,112.673,0.934,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
224,I'm Your Hoochie Coochie Man,Muddy Waters,spotify:track:3paOFbrBwbajlJfcfWEo4A,0.449,0.532,0.498,0.0884,0.141,-12.725,0.0595,114.135,0.841,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
225,Moondance,Van Morrison,spotify:track:7gSeGMqiOrv7ftmxYLFaOA,0.38,0.625,0.428,7.87e-06,0.27,-7.813,0.0294,133.166,0.584,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
226,Fire And Rain,James Taylor,spotify:track:2fFukMZncs29A8kuekOzqO,0.615,0.591,0.22,0.00068,0.099,-20.512,0.036,75.694,0.314,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
