,name,artist,track_URI,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,playlist
26,Layla,Derek & The Dominos,spotify:track:1KDsONFxp3YtnJTaLeWFIi,0.513,0.405,0.799,0.375,0.221,-6.615,0.0635,113.991,0.274,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
27,(Sittin' On) the Dock of the Bay,Otis Redding,spotify:track:3XWiy9JEQ4iyqCzIqqdQu3,0.724,0.484,0.312,1.65e-06,0.0601,-13.522,0.0535,205.981,0.598,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
28,Help! - Remastered 2015,The Beatles,spotify:track:1dfuJYDSIc41cw5RPsaCF1,0.149,0.602,0.736,0,0.0776,-6.51,0.0332,94.931,0.819,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
29,I Walk The Line,Johnny Cash,spotify:track:7wJepIHVDC88KzSyzNU1mA,0.806,0.858,0.382,0.00248,0.101,-15.954,0.0463,106.5,0.692,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
30,Stairway to Heaven - Remaster,Led Zeppelin,spotify:track:5CQ30WqJwcep0pYcV4AMNc,0.58,0.338,0.34,0.0032,0.116,-12.049,0.0339,82.433,0.197,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
31,Sympathy For The Devil - Neptunes Full Length Remix,The Rolling Stones,spotify:track:2f4XPjWfe6J4bEArfhWcLf,0.104,0.391,0.816,0.000207,0.224,-6.015,0.201,154.94,0.498,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
32,River Deep Mountain High,Ike & Tina Turner,spotify:track:1pmJXeio1vfa39JvZynNGs,0.472,0.379,0.638,0.000103,0.132,-8.432,0.0367,81.936,0.428,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
33,You've Lost That Lovin' Feelin' - Single Version,The Righteous Brothers,spotify:track:3no0tiiQldD3LnsxwVtnnk,0.569,0.357,0.389,0,0.099,-9.702,0.0269,94.211,0.324,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
34,Light My Fire - New Stereo Mix Advanced Resolution,The Doors,spotify:track:2N34SI3nF9zLIksG64zNrT,0.149,0.462,0.629,0.000194,0.202,-11.963,0.0294,131.062,0.675,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
35,One,U2,spotify:track:0q52QGBWeEY1cMgHJCKhDD,0.236,0.552,0.466,0.00115,0.128,-10.869,0.0274,90.702,0.34,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
36,No Woman No Cry,Bob Marley & The Wailers,spotify:track:3PQLYVskjUeRmRIfECsL0X,0.159,0.898,0.365,9.28e-06,0.132,-10.452,0.0462,98.53,0.563,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
37,Gimme Shelter,The Rolling Stones,spotify:track:1Rkx7ve9RqSuQ877R3X2HO,0.464,0.633,0.649,0.0363,0.17,-8.272,0.0311,118.629,0.457,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
38,That'll Be The Day,Buddy Holly,spotify:track:49dOnz1NuDgUNba91MudGy,0.608,0.651,0.528,0,0.342,-8.033,0.0294,126.707,0.873,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
39,Dancing In The Street,Martha Reeves & The Vandellas,spotify:track:6iJLTnTP6JlqdfVtE3bywO,0.0483,0.575,0.471,0.000378,0.318,-14.529,0.0338,125.837,0.637,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
40,The Weight,The Band,spotify:track:182gohJsOw44Tr5hfBNtjG,0.228,0.63,0.371,5.05e-06,0.0798,-16.321,0.0532,144.296,0.462,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
41,Waterloo Sunset - Stereo,The Kinks,spotify:track:3nCFItCEHlprmPQiDaNlkM,0.0716,0.555,0.642,0,0.16,-9.103,0.0245,107.554,0.582,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
42,Tutti Frutti,Little Richard,spotify:track:0Fau19QCs19VC7OWohMdzu,0.566,0.534,0.433,0,0.0514,-10.135,0.0635,184.899,0.963,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
43,Georgia On My Mind,Ray Charles,spotify:track:2COR86iKI45mjILKfHydMR,0.978,0.357,0.234,0.0312,0.478,-12.596,0.0419,107.21,0.213,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
44,Heartbreak Hotel,Elvis Presley,spotify:track:6xNwKNYZcvgV3XTIwsgNio,0.84,0.696,0.21,1.62e-06,0.107,-11.922,0.067,93.543,0.717,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
45,Heroes - Single Version;1990 Remastered Version,David Bowie,spotify:track:0Qjbx0YNK7PsTKMou1dXrl,0.0431,0.506,0.767,0.191,0.202,-8.259,0.0298,112.599,0.607,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
46,Bridge over Troubled Water,Simon & Garfunkel,spotify:track:0oER3E4bguI5LvEckvaRdF,0.833,0.281,0.202,0.000984,0.101,-14.059,0.0279,82.341,0.282,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
47,All Along The Watchtower - Alternate Take,Jimi Hendrix,spotify:track:1P7DeNsiSQSwLyKg7PhBxM,0.0035,0.429,0.796,6.2e-05,0.0837,-6.184,0.0621,113.257,0.617,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
48,Hotel California - 2013 Remaster,Eagles,spotify:track:40riOy7x9W7GXjyGp4pjAv,0.00574,0.579,0.508,0.000494,0.0575,-9.484,0.027,147.125,0.609,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
49,The Tracks Of My Tears,Smokey Robinson & The Miracles,spotify:track:5d6jGnTPXWRSqn5DspJDJl,0.646,0.488,0.334,0,0.166,-10.765,0.0265,96.322,0.685,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
50,The Message (feat. Melle Mel & Duke Bootee),Grandmaster Flash & The Furious Five,spotify:track:5DuTNKFEjJIySAyJH1yNDU,0.0249,0.947,0.607,4.76e-06,0.0861,-10.58,0.202,100.619,0.732,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
51,When Doves Cry,Prince,spotify:track:51H2y6YrNNXcy3dfc3qSbA,0.0102,0.729,0.989,4.45e-05,0.443,-4.613,0.049,126.47,0.84,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
52,Anarchy In The UK,Sex Pistols,spotify:track:7KwdlMKVUyMsyrL523djBl,0.225,0.362,0.946,2.51e-05,0.506,-8.627,0.0896,134.184,0.212,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
53,When a Man Loves a Woman,Percy Sledge,spotify:track:0I4Elttuzf6NXvUYDpCXIx,0.131,0.191,0.604,0,0.132,-6.338,0.0337,65.11,0.293,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
